Event_Id,year,month,day,country,region,city,latitude,longitude,summary,multiple_attack,attacktype,target_type,target_sub_type,group_name,weapon_type,nkill,nwound,nkillter,motive,decades,claimed
1,1970,7,2,Dominican Republic,Central America & Caribbean,Santo Domingo,18.456792,-69.951164,,0,Assassination,Private Citizens & Property,Named Civilian,MANO-D,Unknown,1,0,NA,,70s,
2,1970,0,0,Mexico,North America,Mexico city,19.371887,-99.086624,,0,Hostage Taking (Kidnapping),Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",23rd of September Communist League,Unknown,0,0,NA,,70s,
3,1970,1,0,Philippines,Southeast Asia,Unknown,15.478598,120.599741,,0,Assassination,Journalists & Media,Radio Journalist/Staff/Facility,Unknown,Unknown,1,0,NA,,70s,
4,1970,1,0,Greece,Western Europe,Athens,37.99749,23.762728,,0,Bombing/Explosion,Government (Diplomatic),Embassy/Consulate,Unknown,Explosives,NA,NA,NA,,70s,
5,1970,1,0,Japan,East Asia,Fukouka,33.580412,130.396361,,0,Facility/Infrastructure Attack,Government (Diplomatic),Embassy/Consulate,Unknown,Incendiary,NA,NA,NA,,70s,
6,1970,1,1,United States,North America,Cairo,37.005105,-89.176269,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",0,Armed Assault,Police,"Police Building (headquarters, station, school)",Black Nationalists,Firearms,0,0,0,To protest the Cairo Illinois Police Deparment,70s,0
7,1970,1,2,Uruguay,South America,Montevideo,-34.891151,-56.187214,,0,Assassination,Police,Police Security Forces/Officers,Tupamaros (Uruguay),Firearms,0,0,NA,,70s,
8,1970,1,2,United States,North America,Oakland,37.791927,-122.225906,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",0,Bombing/Explosion,Utilities,Electricity,Unknown,Explosives,0,0,0,,70s,0
9,1970,1,2,United States,North America,Madison,43.076592,-89.412488,"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,New Year's Gang,Incendiary,0,0,0,To protest the War in Vietnam and the draft,70s,1
10,1970,1,3,United States,North America,Madison,43.07295,-89.386694,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,New Year's Gang,Incendiary,0,0,0,To protest the War in Vietnam and the draft,70s,0
11,1970,1,1,United States,North America,Baraboo,43.4685,-89.744299,,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,"Weather Underground, Weathermen",Explosives,0,0,NA,,70s,
12,1970,1,6,United States,North America,Denver,39.758968,-104.876305,"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Left-Wing Militants,Incendiary,0,0,0,Protest the draft and Vietnam War,70s,0
13,1970,1,8,Italy,Western Europe,Rome,41.890961,12.490069,,0,Hijacking,Airports & Aircraft,Aircraft (not at an airport),Unknown,Firearms,0,0,0,,70s,
14,1970,1,9,United States,North America,Detroit,42.331685,-83.047924,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Left-Wing Militants,Incendiary,0,0,0,,70s,0
15,1970,1,9,United States,North America,Rio Piedras,18.386932,-66.061127,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Armed Commandos of Liberation,Incendiary,0,0,0,To protest United States owned businesses in Puerto Rico,70s,1
16,1970,1,10,East Germany (GDR),Eastern Europe,Berlin,52.50153,13.401851,,0,Bombing/Explosion,Government (General),,Commune 1,Explosives,NA,NA,NA,,70s,
