has_null,wave,gender,age,age_o,d_age,d_d_age,race,race_o,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,expected_happy_with_sd_people,expected_num_interested_in_me,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,decision,decision_o,match
0,1,female,21,27,6,5,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,35,20,20,20,0,5,75,18,18,18,10,10,6,8,8,8,8,6,7,7,7,7,7,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,6,9,7,7,6,5,7,9,7,7,7,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,7,6,7,5.5,0,1,0,0
0,1,female,21,22,1,1,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,60,0,0,40,0,0,75,10,10,75,10,10,7,8,10,7,7,5,7,7,9,7,7,4,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,7,8,7,8,5,6,7,7,7,7,4,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,7,5,7,5.5,1,1,0,0
1,1,female,21,22,1,1,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,2,4,5,4,LAW,19,18,19,18,14,12,18,18,18,18,10,10,10,10,10,10,10,10,9,9,9,9,9,9,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,5,8,9,8,5,7,4,7,9,7,4,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,7,5,7,2,1,1,1,1
0,1,female,21,23,2,3,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,30,5,15,40,5,5,75,10,10,75,10,10,7,8,9,8,9,8,7,7,9,7,9,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,7,6,8,7,6,8,7,7,7,7,7,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,7,6,7,5.5,0,1,1,1
0,1,female,21,24,3,3,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,2,4,5,4,LAW,30,10,20,10,10,20,75,10,18,10,10,18,8,7,9,6,9,7,7,7,9,7,9,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,5,6,7,7,6,6,4,7,7,7,7,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,6,6,7,5.5,0,1,1,1
0,1,female,21,25,4,5,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,50,0,30,10,0,10,75,10,75,10,10,10,7,7,8,8,7,7,7,7,7,7,7,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,4,9,7,4,6,4,4,9,7,4,7,4,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,6,5,7,5.5,0,0,1,0
0,1,female,21,30,9,10,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,35,15,25,10,5,10,75,10,75,10,10,10,3,6,7,5,8,7,4,7,7,4,7,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,7,6,7,4,6,7,7,7,7,4,7,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,6,5,7,5.5,0,1,0,0
1,1,female,21,27,6,5,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,33.33,11.11,11.11,11.11,11.11,22.22,75,10,10,10,10,75,6,7,5,6,8,6,7,7,4,7,7,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,4,9,7,6,5,6,4,9,7,7,4,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,6,7,7,8.5,1,0,0,0
0,1,female,21,28,7,10,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,50,0,25,10,0,15,75,10,75,10,10,10,7,7,8,8,8,9,7,7,7,7,7,9,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,7,6,8,9,8,8,7,7,7,9,7,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,7,7,7,8.5,0,1,1,1
0,1,female,21,24,3,3,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,5,4,LAW,100,0,0,0,0,0,75,10,10,10,10,10,6,6,6,6,6,6,7,7,7,7,7,7,15,20,20,15,15,15,10,18,18,10,10,10,6,8,8,8,7,7,7,7,7,7,5,6,6,8,10,8,4,7,7,7,9,7,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,9,3,7,9,3,3,3,3,3,7,9,3,9,9,9,7,3,3,2,4,2,2,4,6,6,7,5.5,0,1,0,0
0,1,female,24,27,3,3,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,35,20,20,20,0,5,75,18,18,18,10,10,8,7,6,9,7,4,7,7,7,9,7,4,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,5,7,8,4,6,3,4,7,7,4,7,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,6,4,7,2,0,0,0,0
0,1,female,24,22,2,3,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,60,0,0,40,0,0,75,10,10,75,10,10,7,6,10,6,6,5,7,7,9,7,7,4,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,8,5,6,6,9,6,7,4,7,7,9,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,7,3,7,2,0,0,0,0
0,1,female,24,22,2,3,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,2,5,5,4,LAW,19,18,19,18,14,12,18,18,18,18,10,10,10,10,10,10,10,10,9,9,9,9,9,9,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,5,8,9,6,3,4,4,7,9,7,4,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,6,7,7,8.5,0,0,1,0
0,1,female,24,23,1,1,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,30,5,15,40,5,5,75,10,10,75,10,10,9,9,9,9,9,9,9,9,9,9,9,9,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,7,9,7,6,5,7,7,9,7,7,4,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,7,8,7,8.5,0,1,1,1
0,1,female,24,24,0,1,European/Caucasian-American,'Latino/Hispanic American',0,2,5,5,4,LAW,30,10,20,10,10,20,75,10,18,10,10,18,10,10,10,10,7,8,9,9,9,9,7,7,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,6,8,7,9,7,8,7,7,7,9,7,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,8,6,7,5.5,1,0,1,0
0,1,female,24,25,1,1,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,50,0,30,10,0,10,75,10,75,10,10,10,7,8,7,5,7,7,7,7,7,4,7,7,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,8,7,8,3,6,2,7,7,7,4,7,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,6,5,7,5.5,0,0,1,0
0,1,female,24,30,6,5,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,35,15,25,10,5,10,75,10,75,10,10,10,5,3,4,3,5,3,4,4,4,4,4,4,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,7,5,9,6,7,9,7,4,9,7,7,9,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,8,7,7,8.5,0,1,0,0
0,1,female,24,27,3,3,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,33.33,11.11,11.11,11.11,11.11,22.22,75,10,10,10,10,75,7,7,7,7,7,5,7,7,7,7,7,4,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,5,8,7,5,9,5,4,7,7,4,9,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,5,6,3,5.5,0,0,1,0
0,1,female,24,28,4,5,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,50,0,25,10,0,15,75,10,75,10,10,10,8,6,9,9,8,7,7,7,9,9,7,7,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,7,6,8,9,4,5,7,7,7,9,4,4,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,5,6,3,5.5,0,1,1,1
0,1,female,24,24,0,1,European/Caucasian-American,European/Caucasian-American,1,2,5,5,4,LAW,100,0,0,0,0,0,75,10,10,10,10,10,6,5,7,7,9,7,7,4,7,7,9,7,45,5,25,20,0,5,75,10,75,18,10,10,7,5,10,8,3,7,4,9,7,4,6,7,8,7,9,8,7,7,7,7,9,7,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,3,3,7,9,7,7,3,3,7,9,3,9,7,7,7,3,3,4,5,3,2,7,4,8,7,7,8.5,0,1,0,0
